code,name,eog_score_black
241316,Whiteville High,43
241320,Whiteville Primary,N/A
250304,Albert H Bangert Elementary,45
250306,Ben D Quinn Elementary,45.6
250308,Bridgeton Elementary,19.6
250312,Brinson Memorial Elementary,39.6
250314,Craven Early College High,N/A
250316,Creekside Elementary,54.2
250320,Vanceboro-Farm Life Elementary,38
250321,Early College EAST High,N/A
250324,Grover C Fields Middle,31.1
250328,Graham A Barden Elementary,75
250332,H J MacDonald Middle,29.6
250336,Havelock Elementary,42
250340,Havelock High,50.3
250344,Havelock Middle,36.6
250348,J T Barber Elementary,20.3
250350,James W Smith Elementary,35.2
250356,New Bern High,35.7
250360,Oaks Road Academy,23.5
250362,Roger Bell New Tech Academy,34.5
250364,Trent Park Elementary,35.2
250368,Tucker Creek Middle,60.8
250372,West Craven High,28.9
250376,West Craven Middle,23.4
250378,W Jesse Gurganus Elementary,77.4
250380,Arthur W Edwards Elementary,48.4
260302,Alma O Easom Elementary,N/A
260306,Armstrong Elementary,58.7
260308,Ashley Elementary,34
260310,Loyd E Auman Elementary,35.5
260312,Beaver Dam Elementary,N/A
260316,Lillian Black Elementary,40.4
260318,Jack Britt High,51.4
260320,Brentwood Elementary,53.2
260321,Douglas Byrd Middle,31.4
260325,Cape Fear High,51.5
260326,Elizabeth M Cashwell Elementary,54.7
260332,Eastover-Central Elementary,59.3
260336,Anne Chesnutt Middle,31.2
260338,Cliffdale Elementary,45.8
260340,College Lakes Elementary,55.4
260342,C Wayne Collier Elementary,48.1
260344,J W Coon Elementary,38.9
260347,Cumberland International Early College,84.5
260348,Cumberland Mills Elementary,48.5
260352,Cumberland Road Elementary,42.3
260354,Cross Creek Early College,>95
260356,District No 7 Elementary,N/A
260357,Grays Creek High,49.5
260358,Luther Nick Jeralds Middle,34.3
260359,E E Smith High,41.3
260361,Ferguson-Easley Elementary,36.9
260362,Grays Creek Middle,48.4
260363,Glendale Acres Elementary,N/A
260364,Alderman Road Elementary,46.8
260365,R Max Abbott Middle,38.8
260366,Howard L Hall Elementary,52.7
260367,Bill Hefner Elementary,37.6
260368,Hope Mills Middle,36.6
260369,John R Griffin Middle,55.2
260370,Ed V Baldwin Elementary,36.6
260371,Ireland Drive Middle,38.3
260372,Lewis Chapel Middle,32
260373,Gallberry Farm Elementary,53.3
260374,Alger B. Wilkins High School,N/A
260375,Grays Creek Elementary,59.7
260380,Long Hill Elementary,58.7
260382,Lucile Souders Elementary,45
260383,Mac Williams Middle,44.2
260386,Margaret Willis Elementary,37.4
260388,Massey Hill Classical High,56.7
260396,Mary McArthur Elementary,40
260397,E Melvin Honeycutt Elementary,50.4
260398,E E Miller Elementary,59.5
260400,Montclair Elementary,42.3
260401,Morganton Road Elementary,36.7
260402,Manchester Elementary,38.8
260403,New Century International Elementary,56.9
260404,William H Owen Elementary,43.3
260405,Walker-Spivey Elementary,41.3
260406,Pine Forest Middle,45.9
260407,Lake Rim Elementary,38
260408,Pine Forest High,50.8
260410,Ponderosa Elementary,37
260411,Reid Ross Classical High,64.4
260412,Raleigh Road Elementary,N/A
260413,Howard Learning Academy,N/A
260414,Benjamin J Martin Elementary,42.6
260415,Rockfish Elementary,55
260416,J W Seabrook Elementary,44.2
260417,New Century International Middle,53.4
260418,Seventy-First Classical Middle,68.1
260419,Reid Ross Classical Middle,45.1
260424,Seventy-First High,37.9
260425,South View Middle,35.9
260426,Sherwood Park Elementary,27.5
260427,South View High,44.4
600576,West Charlotte High,23.9
260428,Spring Lake Middle,33.3
260430,Stedman Elementary,52
260432,Stedman Primary,N/A
260434,Stoney Point Elementary,59.8
260440,Sunnyside Elementary,28.2
260444,Teresa C Berrien Elementary,24.6
260448,Vanstory Hills Elementary,43.5
260449,Ramsey Street High,N/A
260450,Warrenwood Elementary,42
260452,Westarea Elementary,38.4
260454,Westover Middle,40.5
260455,Westover High,37.1
260459,William T Brown Elementary,49.2
260700,Cumberland Polytechnic,>95
270304,Central Elementary,N/A
270306,Currituck County High,N/A
270308,Currituck County Middle,17.5
270309,Jarvisburg Elementary,N/A
270310,Shawboro Elementary School,50
270311,The JP Knapp ECH (i)School,N/A
270312,Knotts Island Elementary,N/A
270316,Moyock Elementary,N/A
270318,Moyock Middle,54.2
270320,W T Griggs Elementary,N/A
280302,Cape Hatteras Elementary School,N/A
280304,Cape Hatteras Secondary School,N/A
280306,Dare Learning Academy,N/A
280308,Kitty Hawk Elementary School,N/A
280310,Nags Head Elementary School,N/A
280312,Manteo Elementary School,50
280316,Manteo High School,N/A
280320,Manteo Middle School,42.3
280324,First Flight Elementary School,N/A
280328,First Flight Middle School,N/A
280330,First Flight High School,N/A
290302,Brier Creek Elementary,N/A
