code,name,county,city,full_address,long,lat
600577,Westerly Hills Academy,Mecklenburg,Charlotte,"4420 Denver Ave, Charlotte, NC 28208",-80.9110091,35.2322231
600579,West Mecklenburg High,Mecklenburg,Charlotte,"7400 Tuckaseegee Rd, Charlotte, NC 28214",-80.9520921,35.2473959
600582,J T Williams Secondary Montessori,Mecklenburg,Charlotte,"2400 Carmine St, Charlotte, NC 28206",-80.841997,35.266835
600586,Winding Springs Elementary,Mecklenburg,Charlotte,"6601 Horace Mann Rd, Charlotte, NC 28269",-80.8286961,35.3063128
600587,Windsor Park Elementary,Mecklenburg,Charlotte,"3910 Sudbury Rd, Charlotte, NC 28205",-80.7599797,35.2233004
600588,Winget Park Elementary,Mecklenburg,Charlotte,"12235 Winget Rd, Charlotte, NC 28278",-81.0004442,35.1307437
600589,Winterfield Elementary,Mecklenburg,Charlotte,"3100 Winterfield Pl, Charlotte, NC 28205",-80.766898,35.208093
600590,River Gate Elementary,Mecklenburg,Charlotte,"15340 Smith Rd, Charlotte, NC 28273",-80.9771781,35.0873931
600592,Vance High,Mecklenburg,Charlotte,"7600 IBM Dr, Charlotte, NC 28262",-80.7689268,35.3001651
600594,Merancas Middle College High,Mecklenburg,Huntersville,"11930 Verhoeff Dr, Huntersville, NC 28078",-80.8405499,35.3928129
600693,Olympic High - Renaissance School,Mecklenburg,Charlotte,"4301 Sandy Porter Rd Suite D, Charlotte, NC 28273",-80.952376,35.157963
600694,Olympic High-Math Eng Tech Science,Mecklenburg,Charlotte,"4301 Sandy Porter Rd Suite B, Charlotte, NC 28273",-80.952376,35.157963
600695,Olympic TEAM High School,Mecklenburg,Charlotte,"4301 Sandy Porter Rd Suite A, Charlotte, NC 28273",-80.952376,35.157963
600696,Olympic High-Leadership and Development,Mecklenburg,Charlotte,"4301 Sandy Porter Rd Suite C, Charlotte, NC 28273",-80.952376,35.157963
600697,Olympic High - Biotech Health Pub Admin,Mecklenburg,Charlotte,"4301 Sandy Porter Rd Suite E, Charlotte, NC 28273",-80.952376,35.157963
600LEA,Charlotte-Mecklenburg Schools,Mecklenburg,Charlotte,"Charlotte-Mecklenburg Gov Center, 600 East Fourth Street, 5th Floor, Charlotte, NC 28202",-80.8393449,35.2216474
60B000,Sugar Creek Charter,Mecklenburg,Charlotte,"4101 N Tryon Street, Charlotte, NC 28206",-80.797505,35.257276
60D000,Lake Norman Charter,Mecklenburg,Huntersville,"12435 Old Statesville Road, Huntersville, NC 28078",-80.842956,35.4250093
60F000,Metrolina Reg Scholars Academy,Mecklenburg,Charlotte,"5225 Seventy-seven Center Dr, Charlotte, NC 28217",-80.8859437,35.168679
60G000,Queen's Grant Community School,Mecklenburg,Mint Hill,"6400 Matthews Mint Hill Road, Mint Hill, NC 28227",-80.6639448,35.1655762
60I000,Community School of Davidson,Mecklenburg,Davidson,"404 Armour Street, Davidson, NC 28036",-80.853447,35.507976
60J000,Socrates Academy,Mecklenburg,Matthews,"3909 Weddington Rd, Matthews, NC 28105",-80.7289342,35.0727298
60K000,Charlotte Secondary,Mecklenburg,Charlotte,"8601 McAlpine Park Dr, Charlotte, NC 28211",-80.7488965,35.1519449
60L000,KIPP Charlotte,Mecklenburg,Charlotte,"931 Wilann Dr, Charlotte, NC 28215",-80.7660367,35.2503843
