code,name,county,city,full_address
40328,Peachland-Polkton Elem,Anson,Peachland,"9633 Hwy 74 W, Peachland, NC 28133"
40330,Wadesboro Elementary,Anson,Wadesboro,"321 Camden Road, Wadesboro, NC 28710"
040LEA,Anson County Schools,Anson,Wadesboro,"320 Camden Road, Wadesboro, NC 28170"
50302,Ashe County High,Ashe,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694"
50305,Ashe County Middle,Ashe,Warrensville,"255 Northwest Lane, Warrensville, NC 28693"
50310,Blue Ridge Elementary,Ashe,Warrensville,"5778 NC Hwy 88 W, Warrensville, NC 28693"
50330,"Mountain View Elementary, Jefferson",Ashe,Jefferson,"2789 Hwy 221 N, Jefferson, NC 28640"
50335,Westwood Elementary,Ashe,West Jefferson,"4083 US Hwy 221S, West Jefferson, NC 28694"
050LEA,Ashe County Schools,Ashe,Jefferson,"320 South Street, Jefferson, NC 28640"
60302,Avery County High,Avery,Newland,"401 Avery County High School Road, Newland, NC 28657"
60304,Banner Elk Elementary,Avery,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604"
60310,Cranberry Middle,Avery,Elk Park,"6230 North Highway 19E, Elk Park, NC 28622"
60316,Crossnore Elementary,Avery,Crossnore,"1000 Walt Clark Road, Crossnore, NC 28616"
60318,Avery Middle,Avery,Newland,"102 Old Montezuma Road, Newland, NC 28657"
60322,Freedom Trail Elementary,Avery,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622"
60328,Newland Elementary,Avery,Newland,"750 Linville Street, Newland, NC 28657"
60332,Riverside Elementary,Avery,Newland,"8020 US 19E Hwy South, Newland, NC 28657"
60334,Blue Ridge Academy,Avery,Newland,"76 Old Montezuma Rd, Newland, NC 28657"
60700,Avery High STEM Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657"
60701,Avery High Viking Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657"
060LEA,Avery County Schools,Avery,Newland,"775 Cranberry Street, Newland, NC 28657"
06A000,Grandfather Academy,Avery,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604"
06B000,Williams Academy,Avery,Crossnore,"129 Allen Circle, Crossnore, NC 28616"
70302,"Eastern Elementary, Washington",Beaufort,Washington,"947 Hudnell Street, Washington, NC 27889"
70308,Bath Elementary,Beaufort,Bath,"110 S King Street, Bath, NC 27808"
70310,B C Ed Tech Center,Beaufort,Washington,"820 North Bridge St, Washington, NC 27899"
