code,name,eog_score_white
310308,Beulaville Elementary,58.5
310330,Chinquapin Elementary,67.8
310336,Warsaw Elementary,45.8
310338,Duplin Early College High,N/A
310344,East Duplin High,63.7
310356,Kenansville Elementary,59
310360,North Duplin Elementary,69.9
310364,North Duplin Jr Sr High,73.8
310384,Rose Hill-Magnolia Elementary,46.5
310388,Wallace Elementary,52.5
310392,Wallace-Rose Hill High,42.5
320304,Bethesda Elementary,52.9
320306,Brogden Middle,77
320308,Burton Elementary,N/A
320309,J D Clement Early College HS,N/A
320310,Eastway Elementary,N/A
320312,C E Jordan High,77.2
320313,Easley Elementary,80.2
320314,The School for Creative Studies,72.9
320315,Eno Valley Elementary,N/A
320316,George L Carrington Middle,75.1
320317,City of Medicine Academy,N/A
320318,Club Boulevard Elementary,87.7
320319,Creekside Elementary,86.2
320320,Glenn Elementary,N/A
320322,Durham's Performance Learning Center,N/A
320323,Durham School of the Arts,>95
320324,Hillandale Elementary,67.7
320325,Hillside High,N/A
320327,Hope Valley Elementary,85
320328,Holt Elementary,N/A
320329,Holton Career and Resource Center,N/A
320332,Forest View Elementary,83.5
320336,DPS Hospital School,N/A
320338,James E Shepard Middle,N/A
320339,Lakewood Elementary,N/A
320340,Little River K-8 School,70.7
320341,Lakeview School,N/A
320342,Lakewood Montessori Middle,>95
320343,Lucas Middle,71.7
320344,Fayetteville Street Elementary,N/A
320346,Lowe's Grove Middle,80.4
320347,George Watts Elementary,92
320348,Mangum Elementary,86.2
320352,Merrick-Moore Elementary,N/A
320353,Middle College HS @ DTCC,N/A
320354,Morehead Montessori,85.7
320355,Neal Middle,50
320356,Northern High,58.6
240334,East Columbus High,38.4
320360,Oak Grove Elementary,N/A
320362,Parkwood Elementary,48
320363,E K Powe Elementary,87.6
320364,Pearsontown Elementary,92
320365,Riverside High,86.3
320366,Sherwood Githens Middle,84.4
320367,R N Harris Elementary,N/A
320368,Southern School of Energy and Sustainabi,N/A
320369,Sandy Ridge Elementary,72.2
320370,Rogers-Herr Middle,89.8
320372,Southwest Elementary,88.5
320374,C C Spaulding Elementary,N/A
320376,Spring Valley Elementary,68.8
320388,W G Pearson Elementary,N/A
320400,Y E Smith Elementary,N/A
320701,Hillside New Tech High,N/A
330304,G W Bulluck Elementary,55.3
330308,G W Carver Elementary,51.3
330312,Coker-Wimberly Elementary,N/A
330326,Edgecombe Early College High,90.5
330328,North Edgecombe High,N/A
330332,Phillips Middle,N/A
330334,Princeville Elementary,N/A
330340,South Edgecombe Middle,45.1
330344,W A Pattillo Middle,53.2
330348,West Edgecombe Middle,61.2
330350,SouthWest Edgecombe High,42.3
330354,Stocks Elementary,46.9
330358,Tarboro High,32.7
330360,Martin Millennium Academy,65.3
340308,Ashley Academy,N/A
340311,Atkins Academic & Tech High,90.3
340314,Bolton Elementary,44.7
340320,Brunson Elementary,87.6
340326,Caleb's Creek Elementary,75.2
340330,Carver High,N/A
340332,Career Center,N/A
340334,Cash Elementary,73.4
340336,Carter High School,N/A
340344,Childrens Center,N/A
340348,Clemmons Elementary,89.4
340350,Clemmons Middle School,81.1
340351,Cook Literacy Model School,N/A
340354,The Downtown School,88.2
340362,Early College of Forsyth Co,89.3
340364,East Forsyth High,64.6
340366,East Forsyth Middle School,53.2
340368,Easton Elementary School,N/A
340372,Flat Rock Middle,62.1
340376,Forest Park Elementary,N/A
340380,Gibson Elementary,N/A
340382,Robert B Glenn High School,57.1
340384,Griffith Elementary,61.1
340385,Main Street Academy,N/A
340390,Hall-Woodward Elementary,N/A
340392,Hanes Magnet School,94.9
340398,Homebound/ Hospital Education,N/A
340400,Ibraham Elementary,30
340403,Jefferson Elementary,87.7
340406,Thomas Jefferson Middle,84.4
340416,Kernersville Elementary,66.7
340420,Kernersville Middle,78.4
340424,Kimberley Park Elementary,N/A
340426,Kimmel Farm Elementary,64.5
340427,Kingswood School,N/A
340428,Konnoak Elementary,50
340430,Diggs-Latham Elementary,52.2
340432,Lewisville Elementary,87
340436,Lowrance Middle,N/A
340440,Meadowlark Elementary,91.3
340442,Meadowlark Middle,85.5
340446,Middle College of Forsyth Cnty,N/A
340448,Mineral Springs Elementary,47.8
340452,Mineral Springs Middle,35.9
340453,Moore Magnet Elementary,71.1
340454,Mount Tabor High School,80.7
340457,Frank Morgan Elementary,82.1
340460,North Forsyth High,35.4
340462,North Hills Elementary,N/A
340464,Northwest Middle,61.2
340472,Old Richmond Elementary,71.8
340476,Old Town Elementary,N/A
340480,Paisley IB Magnet School,90.8
310352,James Kenan High,43.8
340486,Parkland High,33.9
340488,J F Kennedy High,N/A
340490,Petree Elementary,N/A
340492,Philo-Hill Magnet Academy,23
340494,Piney Grove Elementary,76.6
340495,Ronald W Reagan High School,82.3
340496,R J Reynolds High,74.7
340504,Rural Hall Elementary,62
340508,Sedge Garden Elementary,74.1
340512,Sherwood Forest Elementary,92.9
340514,Smith Farm Elementary,59.6
340516,Southeast Middle,61.8
340520,South Fork Elementary,51.4
340528,Southwest Elementary,89.3
340530,Speas Elementary,82.1
340531,The Special Children's School,N/A
340532,Union Cross Traditional Acad,55.9
340536,Vienna Elementary,84.2
340540,Walkertown Elementary,54.9
340542,Walkertown High,48
340544,Walkertown Middle,57.9
340548,Ward Elementary,54.5
340556,West Forsyth High,77
340560,Whitaker Elementary,89.4
340564,Wiley Magnet Middle,83.3
340568,Winston-Salem Preparatory Acad,N/A
350304,Bunn Elementary,70.5
350308,Bunn High,61.1
350310,Bunn Middle,64.3
350312,Cedar Creek Middle,63.8
350316,Edward Best Elementary,78.8
350317,Franklin County Early College,87.2
350318,Franklinton Elementary,54.2
350321,Franklinton High,68.5
350324,Franklinton Middle,52.4
350330,Laurel Mill Elementary,63
350331,Long Mill Elementary,82.5
350332,Louisburg Elementary,60.6
350336,Louisburg High,59.1
350338,Terrell Lane Middle,58.7
350339,Royal Elementary,64
350340,Youngsville Elementary,80
360310,Ashbrook High,62.6
360320,Belmont Central Elementary,78.6
360324,Belmont Middle,76.2
360332,Bessemer City Central Elem,38.6
360336,Bessemer City High,33.9
360337,Gaston Early College High School,>95
360338,Bessemer City Primary,N/A
360339,W B Beam Intermediate School,55.3
360340,Brookside Elementary,48.8
360344,Carr Elementary,65.5
360348,Catawba Heights Elementary,59.6
360352,Chapel Grove Elementary,47.8
360360,Cherryville High,69.1
360364,Cherryville Elementary,81.2
360372,Warlick Academy,N/A
360376,Costner Elementary,55.9
