code,name,eog_score_latino
260354,Cross Creek Early College,N/A
260356,District No 7 Elementary,69
260357,Grays Creek High,55.9
260358,Luther Nick Jeralds Middle,47.4
260359,E E Smith High,N/A
260361,Ferguson-Easley Elementary,N/A
260362,Grays Creek Middle,51.6
260363,Glendale Acres Elementary,N/A
260364,Alderman Road Elementary,56.9
260365,R Max Abbott Middle,52.4
260366,Howard L Hall Elementary,66.7
260367,Bill Hefner Elementary,49.2
260368,Hope Mills Middle,45.3
260369,John R Griffin Middle,70.5
260370,Ed V Baldwin Elementary,41
260371,Ireland Drive Middle,51.2
260372,Lewis Chapel Middle,44.5
260373,Gallberry Farm Elementary,60.1
260374,Alger B. Wilkins High School,N/A
260375,Grays Creek Elementary,59.1
260380,Long Hill Elementary,72
260382,Lucile Souders Elementary,57.9
260383,Mac Williams Middle,59.7
260386,Margaret Willis Elementary,53.1
260388,Massey Hill Classical High,N/A
260396,Mary McArthur Elementary,34.8
260397,E Melvin Honeycutt Elementary,70.1
260398,E E Miller Elementary,60.4
260400,Montclair Elementary,43.2
260401,Morganton Road Elementary,58.1
260402,Manchester Elementary,41.7
260403,New Century International Elementary,66.2
260404,William H Owen Elementary,44.3
260405,Walker-Spivey Elementary,N/A
260406,Pine Forest Middle,68.6
260407,Lake Rim Elementary,47
260408,Pine Forest High,60.6
260410,Ponderosa Elementary,47.1
260411,Reid Ross Classical High,N/A
260412,Raleigh Road Elementary,N/A
260413,Howard Learning Academy,N/A
260414,Benjamin J Martin Elementary,38.5
260415,Rockfish Elementary,69.8
260416,J W Seabrook Elementary,50
260417,New Century International Middle,63.2
260418,Seventy-First Classical Middle,74.6
260419,Reid Ross Classical Middle,60.3
260424,Seventy-First High,46.1
260425,South View Middle,33.8
260426,Sherwood Park Elementary,39.6
260427,South View High,46
260428,Spring Lake Middle,44.5
260430,Stedman Elementary,59.4
260432,Stedman Primary,N/A
260434,Stoney Point Elementary,65.2
260440,Sunnyside Elementary,N/A
260444,Teresa C Berrien Elementary,N/A
600576,West Charlotte High,28.8
260446,Terry Sanford High,42.3
260448,Vanstory Hills Elementary,63.2
260449,Ramsey Street High,N/A
260450,Warrenwood Elementary,52.6
260452,Westarea Elementary,37.9
260454,Westover Middle,45.7
260455,Westover High,45.2
260459,William T Brown Elementary,56.3
260700,Cumberland Polytechnic,N/A
270304,Central Elementary,N/A
270306,Currituck County High,N/A
270308,Currituck County Middle,56.3
270309,Jarvisburg Elementary,46.9
270310,Shawboro Elementary School,N/A
270311,The JP Knapp ECH (i)School,N/A
270312,Knotts Island Elementary,N/A
270316,Moyock Elementary,N/A
270318,Moyock Middle,60
270320,W T Griggs Elementary,N/A
280302,Cape Hatteras Elementary School,50
280304,Cape Hatteras Secondary School,49.4
280306,Dare Learning Academy,N/A
280308,Kitty Hawk Elementary School,N/A
280310,Nags Head Elementary School,64.9
280312,Manteo Elementary School,38.1
280316,Manteo High School,64.2
280320,Manteo Middle School,53.4
280324,First Flight Elementary School,62.5
280328,First Flight Middle School,49.3
280330,First Flight High School,N/A
290302,Brier Creek Elementary,66.7
290306,Northwest Elementary,N/A
290307,Southmont Elementary,N/A
290309,Central Davidson Middle,47
290310,Stoner-Thomas School,N/A
290312,Churchland Elementary,34.6
290314,Davidson County High School,N/A
290315,Davidson Early College,N/A
290316,Davis-Townsend Elementary,N/A
290320,Denton Elementary,N/A
290322,E Lawson Brown Middle,54.3
290324,East Davidson High,63.2
600592,Vance High,39.1
290328,Fair Grove Elementary,46.3
290330,Friedberg Elementary,47.8
290332,Hasty Elementary,60.9
290333,Friendship Elementary,59.2
290334,Ledford Middle,62.2
290336,Ledford Senior High,51.3
